"Designator","Mid X","Mid Y","     Rotation","Layer"
"C1",67.9,-66.6,90,"top"
"C2",68.5,-64.2,180,"top"
"C3",60.2,-54,0,"top"
"C4",84.7,-53.5,180,"top"
"C5",58,-59.9,270,"top"
"C6",87,-55,270,"top"
"C7",61.9,-60.5,90,"top"
"C8",64.1,-67.1,0,"top"
"C9",64.1,-65.5,180,"top"
"C10",68.1,-55.7,0,"top"
"C11",65.6,-56,90,"top"
"C12",60.4,-66.2,270,"top"
"C13",62,-66.2,270,"top"
"C14",71,-54,0,"top"
"R1",71.6,-64.2,0,"top"
"R2",58.7,-57.6,180,"top"
"R3",58.7,-56,180,"top"
"R4",56.4,-60,270,"top"
"R6",86.6,-66.5,90,"top"
"R7",68.2,-54,0,"top"
"R8",70.9,-55.7,0,"top"
"U2",54.65,-64.95,90,"top"
"Y1",70.8,-66.6,180,"top"
